他, number_of_appearances:3630
叉腰, number_of_appearances:2
不同寻常, number_of_appearances:1
烟, number_of_appearances:4
烧掉, number_of_appearances:2
调查, number_of_appearances:1
损失, number_of_appearances:1
交换, number_of_appearances:3
眼色, number_of_appearances:1
着眼, number_of_appearances:7
睛, number_of_appearances:1
叙述, number_of_appearances:2
被带, number_of_appearances:6
四散, number_of_appearances:1
还说, number_of_appearances:3
前天, number_of_appearances:2
充分, number_of_appearances:1
发挥, number_of_appearances:1
功效, number_of_appearances:1
激发, number_of_appearances:2
烧毁, number_of_appearances:4
思想, number_of_appearances:4
日复一日, number_of_appearances:1
继, number_of_appearances:1
续着, number_of_appearances:1
字母表, number_of_appearances:1
拼写, number_of_appearances:5
融合, number_of_appearances:1
搞错, number_of_appearances:1
指节, number_of_appearances:1
嗅到, number_of_appearances:1
花香, number_of_appearances:1
迷人, number_of_appearances:1
分区, number_of_appearances:1
揭示, number_of_appearances:3
烟云, number_of_appearances:2
不重要, number_of_appearances:3
泛起, number_of_appearances:1
针扎, number_of_appearances:1
熏, number_of_appearances:1
发黑, number_of_appearances:1
浩气, number_of_appearances:1
女朋友, number_of_appearances:5
伤人, number_of_appearances:1
烟雾, number_of_appearances:2
那个人, number_of_appearances:1
两边, number_of_appearances:2
流进, number_of_appearances:2
正用, number_of_appearances:2
布, number_of_appearances:4
擦拭, number_of_appearances:2
询问, number_of_appearances:1
近来, number_of_appearances:2
脾气, number_of_appearances:1
扑灭, number_of_appearances:1
迟了, number_of_appearances:1
烧成, number_of_appearances:1
灰, number_of_appearances:2
比干, number_of_appearances:1
放火, number_of_appearances:1
唇, number_of_appearances:2
诚实, number_of_appearances:1
坏了, number_of_appearances:1
有效, number_of_appearances:1
白布, number_of_appearances:1
染, number_of_appearances:2
红, number_of_appearances:3
吩咐, number_of_appearances:2
烟灰, number_of_appearances:1
扭结, number_of_appearances:1
不佳, number_of_appearances:1
刚一, number_of_appearances:2
支离破碎, number_of_appearances:3
言之有理, number_of_appearances:2
胡言乱语, number_of_appearances:1
能干, number_of_appearances:1
刺死, number_of_appearances:1
才不, number_of_appearances:1
减弱, number_of_appearances:1
事情要做, number_of_appearances:1
叮当响, number_of_appearances:1
触电, number_of_appearances:1
漏, number_of_appearances:1
不确定, number_of_appearances:2
推测, number_of_appearances:4
守口如瓶, number_of_appearances:1
替代品, number_of_appearances:1
多亏, number_of_appearances:2
振奋, number_of_appearances:3
局面, number_of_appearances:2
棍子, number_of_appearances:3
各式, number_of_appearances:1
阴森, number_of_appearances:1
硬, number_of_appearances:1
纸箱, number_of_appearances:1
单独, number_of_appearances:3
总共, number_of_appearances:1
看吧, number_of_appearances:1
交叠, number_of_appearances:1
按天, number_of_appearances:1
揭开, number_of_appearances:1
永生, number_of_appearances:1
没有关系, number_of_appearances:1
图形, number_of_appearances:1
工夫, number_of_appearances:1
肉眼, number_of_appearances:1
触手可及, number_of_appearances:1
用语, number_of_appearances:1
从头, number_of_appearances:2
浓厚, number_of_appearances:1
针对, number_of_appearances:1
天将, number_of_appearances:1
独立, number_of_appearances:2
挠挠, number_of_appearances:1
看出, number_of_appearances:3
斯盘, number_of_appearances:1
图, number_of_appearances:1
蜡纸, number_of_appearances:6
剪刀, number_of_appearances:2
记号笔, number_of_appearances:4
拿走, number_of_appearances:2
经常, number_of_appearances:1
用到, number_of_appearances:3
用于, number_of_appearances:1
烘焙, number_of_appearances:1
放手, number_of_appearances:1
工作台, number_of_appearances:1
上演, number_of_appearances:2
无功而返, number_of_appearances:1
裁, number_of_appearances:3
找出, number_of_appearances:2
美工, number_of_appearances:1
恨恨, number_of_appearances:1
认错, number_of_appearances:1
高明, number_of_appearances:2
讯息, number_of_appearances:1
发送, number_of_appearances:1
胡乱, number_of_appearances:2
乳白色, number_of_appearances:1
十天, number_of_appearances:1
拓, number_of_appearances:3
差错, number_of_appearances:1
权且, number_of_appearances:1
尺子, number_of_appearances:1
方便, number_of_appearances:1
狂热, number_of_appearances:1
慌张, number_of_appearances:1
翘, number_of_appearances:1
描画, number_of_appearances:1
有结果, number_of_appearances:1
各区, number_of_appearances:1
揣, number_of_appearances:1
顺序, number_of_appearances:5
大吃一惊, number_of_appearances:2
映入眼帘, number_of_appearances:1
冷气, number_of_appearances:1
上上下下, number_of_appearances:1
交错, number_of_appearances:2
网格, number_of_appearances:1
频率, number_of_appearances:1
更高, number_of_appearances:1
其余, number_of_appearances:1
更深, number_of_appearances:1
不容置疑, number_of_appearances:1
百感交集, number_of_appearances:1
概括, number_of_appearances:1
一行, number_of_appearances:1
飘浮, number_of_appearances:4
猫, number_of_appearances:2
救援, number_of_appearances:8
胡扯, number_of_appearances:1
多天, number_of_appearances:1
如今, number_of_appearances:1
开展, number_of_appearances:1
矛盾, number_of_appearances:2
安慰, number_of_appearances:1
这项, number_of_appearances:2
领袖, number_of_appearances:2
全局, number_of_appearances:1
得意, number_of_appearances:2
十全十美, number_of_appearances:1
通知, number_of_appearances:5
征途, number_of_appearances:1
欣然, number_of_appearances:1
请求, number_of_appearances:2
有经验, number_of_appearances:1
释然, number_of_appearances:1
告别, number_of_appearances:1
快活, number_of_appearances:1
悲惨, number_of_appearances:2
鼓励, number_of_appearances:3
关切, number_of_appearances:2
孤注一掷, number_of_appearances:1
宝贝, number_of_appearances:1
蝴蝶, number_of_appearances:1
不见得, number_of_appearances:1
才望, number_of_appearances:1
我的爱, number_of_appearances:1
脏话, number_of_appearances:1
不久, number_of_appearances:3
没有必要, number_of_appearances:1
折回, number_of_appearances:1
返程, number_of_appearances:1
匀速, number_of_appearances:2
步调, number_of_appearances:1
呼气, number_of_appearances:2
脚踏, number_of_appearances:1
不去理, number_of_appearances:1
否认, number_of_appearances:1
闯入, number_of_appearances:2
侵犯, number_of_appearances:1
隐私, number_of_appearances:1
沟通, number_of_appearances:2
耗费, number_of_appearances:1
脑力, number_of_appearances:1
恋人, number_of_appearances:1
绊, number_of_appearances:1
跤, number_of_appearances:1
羞涩, number_of_appearances:1
嫩, number_of_appearances:1
明丽, number_of_appearances:1
快意, number_of_appearances:1
兴, number_of_appearances:1
心灵感应, number_of_appearances:3
大事, number_of_appearances:2
进一步, number_of_appearances:1
试探, number_of_appearances:1
人为, number_of_appearances:1
敌, number_of_appearances:1
气体, number_of_appearances:2
总会, number_of_appearances:1
打发时间, number_of_appearances:1
释, number_of_appearances:1
胃痛, number_of_appearances:1
心灵, number_of_appearances:2
互通, number_of_appearances:1
行走, number_of_appearances:1
浓绿, number_of_appearances:1
水果, number_of_appearances:1
知晓, number_of_appearances:2
查找, number_of_appearances:1
垂头丧气, number_of_appearances:2
一无所获, number_of_appearances:2
好找, number_of_appearances:1
拐弯处, number_of_appearances:1
午夜, number_of_appearances:1
拐角处, number_of_appearances:3
惊吓, number_of_appearances:1
捉弄, number_of_appearances:1
上午, number_of_appearances:2
狼藉, number_of_appearances:1
切, number_of_appearances:2
照旧, number_of_appearances:2
耕作, number_of_appearances:1
清扫, number_of_appearances:1
赶来, number_of_appearances:3
心碎, number_of_appearances:2
好消息, number_of_appearances:1
灰心, number_of_appearances:1
亚当, number_of_appearances:2
发愣, number_of_appearances:1
人心, number_of_appearances:2
陆续, number_of_appearances:1
每日, number_of_appearances:1
接通, number_of_appearances:1
断断续续, number_of_appearances:1
捉摸不定, number_of_appearances:1
在生, number_of_appearances:1
气上, number_of_appearances:1
龙卷风, number_of_appearances:1
光顾, number_of_appearances:2
斜靠, number_of_appearances:1
遣散, number_of_appearances:1
帮手, number_of_appearances:1
徒劳无功, number_of_appearances:1
跪下, number_of_appearances:1
亲吻, number_of_appearances:1
粗体字, number_of_appearances:1
推动, number_of_appearances:1
僵住, number_of_appearances:2
最最, number_of_appearances:3
蹩脚, number_of_appearances:3
花点, number_of_appearances:1
发掘, number_of_appearances:1
不眠之夜, number_of_appearances:1
成果, number_of_appearances:1
醉汉, number_of_appearances:1
杰作, number_of_appearances:1
值夜, number_of_appearances:1
底层, number_of_appearances:1
大客厅, number_of_appearances:1
不着, number_of_appearances:1
想方设法, number_of_appearances:1
不成功, number_of_appearances:1
期待感, number_of_appearances:1
预料, number_of_appearances:1
后侧, number_of_appearances:1
冻, number_of_appearances:2
冰, number_of_appearances:1
脚步声, number_of_appearances:2
一楼, number_of_appearances:1
戴夫, number_of_appearances:4
八度, number_of_appearances:1
平安地, number_of_appearances:1
颚, number_of_appearances:1
炸裂, number_of_appearances:1
机不可失, number_of_appearances:1
冲向, number_of_appearances:2
过数, number_of_appearances:1
不清, number_of_appearances:1
夜空, number_of_appearances:1
只顾, number_of_appearances:1
纵身, number_of_appearances:1
回击, number_of_appearances:1
触角, number_of_appearances:1
飞来, number_of_appearances:2
臂, number_of_appearances:2
无情, number_of_appearances:4
针刺, number_of_appearances:1
弃, number_of_appearances:1
一转眼, number_of_appearances:1
作呕, number_of_appearances:3
听从, number_of_appearances:1
沙发, number_of_appearances:1
伤势, number_of_appearances:1
减轻, number_of_appearances:1
崩塌, number_of_appearances:2
同, number_of_appearances:13
传输, number_of_appearances:5
触碰, number_of_appearances:1
漫游, number_of_appearances:1
闻, number_of_appearances:1
在真空中, number_of_appearances:1
自生自灭, number_of_appearances:1
转为, number_of_appearances:1
继而, number_of_appearances:2
变为, number_of_appearances:1
一阵风, number_of_appearances:1
远方, number_of_appearances:2
旋, number_of_appearances:2
雾, number_of_appearances:1
飓风, number_of_appearances:1
长柄, number_of_appearances:1
漏斗, number_of_appearances:1
旋风, number_of_appearances:3
拉伸, number_of_appearances:1
首尾, number_of_appearances:1
大风, number_of_appearances:1
吸进, number_of_appearances:1
撕扯, number_of_appearances:1
浓雾, number_of_appearances:2
塔, number_of_appearances:1
白茫茫, number_of_appearances:1
潮水, number_of_appearances:2
化为, number_of_appearances:1
难忍, number_of_appearances:1
颤音, number_of_appearances:2
幽深, number_of_appearances:1
回音, number_of_appearances:1
超乎, number_of_appearances:1
圆, number_of_appearances:1
满眼, number_of_appearances:1
喜色, number_of_appearances:1
咧嘴, number_of_appearances:2
眉, number_of_appearances:3
用得着, number_of_appearances:1
带回, number_of_appearances:1
焕然一新, number_of_appearances:1
殆尽, number_of_appearances:1
探索者, number_of_appearances:3
密码, number_of_appearances:34
终归, number_of_appearances:1
脑, number_of_appearances:2
可恨, number_of_appearances:1
在意, number_of_appearances:1
敢死, number_of_appearances:1
热火, number_of_appearances:1
实实在在, number_of_appearances:3
特雷莎, number_of_appearances:3
出席, number_of_appearances:1
一时间, number_of_appearances:2
不通, number_of_appearances:1
感同身受, number_of_appearances:1
微乎其微, number_of_appearances:1
丧命, number_of_appearances:1
听上去, number_of_appearances:4
稍后, number_of_appearances:1
细说, number_of_appearances:1
看上去, number_of_appearances:18
这类, number_of_appearances:1
想出, number_of_appearances:1
淘汰, number_of_appearances:1
从而, number_of_appearances:1
变量, number_of_appearances:7
在于, number_of_appearances:2
环节, number_of_appearances:1
摆, number_of_appearances:2
半圆形, number_of_appearances:1
位子, number_of_appearances:1
上都, number_of_appearances:1
直说, number_of_appearances:1
拐弯抹角, number_of_appearances:1
说废话, number_of_appearances:1
打开话匣子, number_of_appearances:1
重点, number_of_appearances:2
成百上千, number_of_appearances:1
放映, number_of_appearances:1
幻灯片, number_of_appearances:1
记不住, number_of_appearances:1
胜利者, number_of_appearances:1
幸存者, number_of_appearances:3
项, number_of_appearances:1
渐, number_of_appearances:3
渐变, number_of_appearances:3
弱, number_of_appearances:6
实说, number_of_appearances:1
选中, number_of_appearances:2
模模糊糊, number_of_appearances:1
正当, number_of_appearances:1
有理, number_of_appearances:1
在某种程度上, number_of_appearances:1
智力, number_of_appearances:1
平均值, number_of_appearances:1
粗略, number_of_appearances:1
家里人, number_of_appearances:1
几年, number_of_appearances:1
特殊, number_of_appearances:1
资金, number_of_appearances:1
编造, number_of_appearances:3
绰号, number_of_appearances:1
阿尔伯特, number_of_appearances:1
爱因斯坦, number_of_appearances:1
艾萨克, number_of_appearances:1
牛顿, number_of_appearances:1
爱迪生, number_of_appearances:1
去就, number_of_appearances:1
真名, number_of_appearances:2
怪胎, number_of_appearances:1
搞不好, number_of_appearances:1
科学家, number_of_appearances:2
因此, number_of_appearances:2
有些人, number_of_appearances:1
鬼话, number_of_appearances:1
嗓门儿, number_of_appearances:1
这部分, number_of_appearances:1
赛跑, number_of_appearances:1
童年, number_of_appearances:1
大群, number_of_appearances:2
抬手, number_of_appearances:3
团结, number_of_appearances:2
合作, number_of_appearances:1
建立, number_of_appearances:1
社区, number_of_appearances:1
文明, number_of_appearances:1
常见, number_of_appearances:1
交头接耳, number_of_appearances:1
质疑, number_of_appearances:1
举手, number_of_appearances:1
到目前为止, number_of_appearances:1
尤其是, number_of_appearances:2
发烫, number_of_appearances:1
操控, number_of_appearances:1
促成, number_of_appearances:1
完结, number_of_appearances:1
手段, number_of_appearances:2
自相残杀, number_of_appearances:1
怒气, number_of_appearances:1
适者生存, number_of_appearances:1
最强, number_of_appearances:2
神奇, number_of_appearances:3
逃跑, number_of_appearances:7
特平, number_of_appearances:1
好听, number_of_appearances:1
中民, number_of_appearances:1
隐约, number_of_appearances:1
选出, number_of_appearances:1
不管怎样, number_of_appearances:2
不语, number_of_appearances:1
一头雾水, number_of_appearances:1
坦白, number_of_appearances:1
指控, number_of_appearances:1
参与, number_of_appearances:2
应不应该, number_of_appearances:1
脸庞, number_of_appearances:2
禁不住, number_of_appearances:3
天赋, number_of_appearances:1
因而, number_of_appearances:1
地方时, number_of_appearances:1
停顿下来, number_of_appearances:2
万分, number_of_appearances:1
小偷, number_of_appearances:1
急忙, number_of_appearances:1
申辩, number_of_appearances:1
采取, number_of_appearances:1
一直以来, number_of_appearances:1
揭露, number_of_appearances:1
一伙, number_of_appearances:2
终, number_of_appearances:1
鬼才, number_of_appearances:1
烧死, number_of_appearances:1
搜查, number_of_appearances:2
计算机, number_of_appearances:2
工作站, number_of_appearances:2
追踪, number_of_appearances:3
倾巢出动, number_of_appearances:1
危险性, number_of_appearances:1
必, number_of_appearances:3
须要, number_of_appearances:3
速度快, number_of_appearances:1
充血, number_of_appearances:1
衬, number_of_appearances:1
醒目, number_of_appearances:1
要冲, number_of_appearances:1
叛徒, number_of_appearances:1
地盘, number_of_appearances:1
死光, number_of_appearances:1
短期, number_of_appearances:1
赢得, number_of_appearances:3
罢了, number_of_appearances:1
很遗憾, number_of_appearances:1
插嘴, number_of_appearances:1
理论, number_of_appearances:3
草率, number_of_appearances:1
确是, number_of_appearances:1
含, number_of_appearances:3
突, number_of_appearances:1
无所畏惧, number_of_appearances:2
抽泣, number_of_appearances:1
含泪, number_of_appearances:1
谎, number_of_appearances:1
互相交流, number_of_appearances:1
抢救, number_of_appearances:1
提示, number_of_appearances:1
评论, number_of_appearances:1
发火, number_of_appearances:1
平安无事, number_of_appearances:1
乞求, number_of_appearances:1
疾病, number_of_appearances:8
焰, number_of_appearances:11
症, number_of_appearances:11
还不如, number_of_appearances:3
战斗, number_of_appearances:22
大问题, number_of_appearances:1
行事, number_of_appearances:2
顺其自然, number_of_appearances:1
哼哼, number_of_appearances:1
单身, number_of_appearances:1
公寓, number_of_appearances:1
住口, number_of_appearances:1
半路, number_of_appearances:1
在所不惜, number_of_appearances:1
加入我们, number_of_appearances:2
击退, number_of_appearances:2
输入, number_of_appearances:21
可以通过, number_of_appearances:1
设定, number_of_appearances:3
有利, number_of_appearances:1
牺牲, number_of_appearances:8
保全, number_of_appearances:1
可怜虫, number_of_appearances:2
狼群, number_of_appearances:1
差劲, number_of_appearances:3
怒视, number_of_appearances:1
齐声, number_of_appearances:1
拉下脸, number_of_appearances:1
贴着, number_of_appearances:3
尤其, number_of_appearances:2
真心实意, number_of_appearances:1
贵族, number_of_appearances:1
老爷, number_of_appearances:1
亲力亲为, number_of_appearances:1
总之, number_of_appearances:1
唇舌, number_of_appearances:1
劝说, number_of_appearances:1
担, number_of_appearances:1
责任, number_of_appearances:3
觉心, number_of_appearances:1
解救, number_of_appearances:1
弥补, number_of_appearances:1
真诚, number_of_appearances:1
与其, number_of_appearances:1
坐等, number_of_appearances:1
英雄主义, number_of_appearances:1
废话, number_of_appearances:2
一清二楚, number_of_appearances:1
倒不如, number_of_appearances:1
叫住, number_of_appearances:1
出逃, number_of_appearances:2
最佳, number_of_appearances:3
再好不过, number_of_appearances:1
特点, number_of_appearances:1
微, number_of_appearances:1
陪伴, number_of_appearances:1
行得通, number_of_appearances:1
靠背, number_of_appearances:1
左膝, number_of_appearances:1
办到, number_of_appearances:1
方案, number_of_appearances:1
修改, number_of_appearances:1
赌注, number_of_appearances:1
泡影, number_of_appearances:1
预计, number_of_appearances:2
力道, number_of_appearances:1
原原本本, number_of_appearances:1
复述, number_of_appearances:1
惊骇, number_of_appearances:1
反而, number_of_appearances:1
转瞬即逝, number_of_appearances:1
消逝, number_of_appearances:1
尽情, number_of_appearances:1
颇为, number_of_appearances:1
居住区, number_of_appearances:3
看懂, number_of_appearances:1
激荡, number_of_appearances:1
法子, number_of_appearances:1
小队, number_of_appearances:1
难得, number_of_appearances:1
听天由命, number_of_appearances:1
毫不怀疑, number_of_appearances:1
退缩, number_of_appearances:1
族群, number_of_appearances:1
瞎话, number_of_appearances:1
从此, number_of_appearances:1
幸福, number_of_appearances:1
环视, number_of_appearances:1
争执, number_of_appearances:1
队员, number_of_appearances:1
放手一搏, number_of_appearances:1
战, number_of_appearances:1
弄清, number_of_appearances:2
必备品, number_of_appearances:1
全权, number_of_appearances:1
领导, number_of_appearances:1
低调, number_of_appearances:2
隐蔽, number_of_appearances:3
担负, number_of_appearances:1
小儿科, number_of_appearances:1
比克, number_of_appearances:1
好办, number_of_appearances:1
几个小时, number_of_appearances:2
多得多, number_of_appearances:1
眼下, number_of_appearances:1
给养, number_of_appearances:1
品, number_of_appearances:1
平均, number_of_appearances:1
包含, number_of_appearances:1
在内, number_of_appearances:1
瓶子, number_of_appearances:1
美化, number_of_appearances:1
趟, number_of_appearances:1
赤裸, number_of_appearances:1
裸地, number_of_appearances:1
队, number_of_appearances:1
考察, number_of_appearances:1
会同, number_of_appearances:2
设想, number_of_appearances:2
乐观, number_of_appearances:1
创意, number_of_appearances:1
长期, number_of_appearances:1
削, number_of_appearances:1
矛, number_of_appearances:1
铁丝, number_of_appearances:3
磨, number_of_appearances:1
小刀, number_of_appearances:4
刀刃, number_of_appearances:4
刀柄, number_of_appearances:2
铁锹, number_of_appearances:1
军队, number_of_appearances:3
寒酸, number_of_appearances:1
好歹, number_of_appearances:1
制订, number_of_appearances:1
老树, number_of_appearances:1
一度, number_of_appearances:1
碧绿, number_of_appearances:1
缺乏, number_of_appearances:1
联络, number_of_appearances:1
互相帮助, number_of_appearances:1
剥, number_of_appearances:1
支援, number_of_appearances:2
打着, number_of_appearances:1
对抗, number_of_appearances:1
猛击, number_of_appearances:3
早早, number_of_appearances:1
记号, number_of_appearances:1
印有, number_of_appearances:1
将要, number_of_appearances:1
大屠杀, number_of_appearances:1
会面, number_of_appearances:1
一无所有, number_of_appearances:2
提心吊胆, number_of_appearances:1
小口, number_of_appearances:1
取, number_of_appearances:1
关键时刻, number_of_appearances:1
由来, number_of_appearances:1
达尔文, number_of_appearances:1
进化论, number_of_appearances:1
老兄, number_of_appearances:2
人称, number_of_appearances:1
塞满, number_of_appearances:1
干等, number_of_appearances:1
一点不, number_of_appearances:1
参战, number_of_appearances:1
骗子, number_of_appearances:1
一塌糊涂, number_of_appearances:1
等着瞧, number_of_appearances:1
骚动, number_of_appearances:2
精神状态, number_of_appearances:1
席卷, number_of_appearances:1
紧抓, number_of_appearances:4
进发, number_of_appearances:2
仓促, number_of_appearances:1
要不然, number_of_appearances:1
阿门, number_of_appearances:1
姊妹, number_of_appearances:1
羡慕, number_of_appearances:1
集, number_of_appearances:1
齐, number_of_appearances:1
肩上, number_of_appearances:5
顶端, number_of_appearances:2
木棒, number_of_appearances:1
玩意儿, number_of_appearances:1
致命, number_of_appearances:1
杀出, number_of_appearances:1
血路, number_of_appearances:1
讨, number_of_appearances:1
公道, number_of_appearances:1
领结, number_of_appearances:1
系带, number_of_appearances:1
筒, number_of_appearances:1
不稳定, number_of_appearances:1
下定决心, number_of_appearances:2
干巴巴, number_of_appearances:1
备受, number_of_appearances:1
奋起, number_of_appearances:1
反击, number_of_appearances:1
不一会儿, number_of_appearances:1
雷声, number_of_appearances:2
驱策, number_of_appearances:1
了结, number_of_appearances:1
高举, number_of_appearances:1
蹒跚, number_of_appearances:1
兴奋不已, number_of_appearances:2
长矛, number_of_appearances:19
责任感, number_of_appearances:1
压倒, number_of_appearances:4
小路, number_of_appearances:1
变换, number_of_appearances:1
围墙, number_of_appearances:1
监听, number_of_appearances:1
脂肪, number_of_appearances:4
幽默感, number_of_appearances:1
穿着, number_of_appearances:5
金光闪闪, number_of_appearances:1
铠甲, number_of_appearances:1
骑士, number_of_appearances:1
恰恰相反, number_of_appearances:1
支队, number_of_appearances:1
伍, number_of_appearances:1
宽度, number_of_appearances:1
落后, number_of_appearances:1
带队, number_of_appearances:2
带领, number_of_appearances:1
心间, number_of_appearances:1
并未, number_of_appearances:1
推移, number_of_appearances:1
巷子, number_of_appearances:3
交叉点, number_of_appearances:2
怦怦, number_of_appearances:1
停住, number_of_appearances:2
住民, number_of_appearances:1
暗处, number_of_appearances:1
前民, number_of_appearances:1
一打, number_of_appearances:1
五头, number_of_appearances:1
透骨, number_of_appearances:1
前所未有的, number_of_appearances:2
直露, number_of_appearances:1
宣告, number_of_appearances:1
队伍, number_of_appearances:4
传开, number_of_appearances:1
开战, number_of_appearances:1
和心, number_of_appearances:1
行进, number_of_appearances:1
闪闪, number_of_appearances:3
发光, number_of_appearances:2
向着, number_of_appearances:4
交会, number_of_appearances:1
开放, number_of_appearances:1
群, number_of_appearances:5
被包, number_of_appearances:1
无路可退, number_of_appearances:1
抽痛, number_of_appearances:1
朝外, number_of_appearances:1
类, number_of_appearances:1
设, number_of_appearances:1
陷阱, number_of_appearances:2
呼哧呼哧, number_of_appearances:1
身躯, number_of_appearances:4
弹回, number_of_appearances:1
一人, number_of_appearances:2
击中要害, number_of_appearances:1
朝前, number_of_appearances:3
平缓, number_of_appearances:1
推挤, number_of_appearances:1
凶恶, number_of_appearances:1
本性, number_of_appearances:2
无遗, number_of_appearances:1
拦阻, number_of_appearances:1
分神, number_of_appearances:1
极力, number_of_appearances:1
自我牺牲, number_of_appearances:1
击倒, number_of_appearances:1
体验, number_of_appearances:1
幕, number_of_appearances:1
按住, number_of_appearances:1
白白, number_of_appearances:2
清出, number_of_appearances:2
但愿, number_of_appearances:1
休眠, number_of_appearances:1
穿上, number_of_appearances:1
盛装, number_of_appearances:1
办, number_of_appearances:1
葬礼, number_of_appearances:1
食, number_of_appearances:1
偷看, number_of_appearances:1
污迹, number_of_appearances:2
这方, number_of_appearances:1
法, number_of_appearances:1
活跃, number_of_appearances:1
惊悚, number_of_appearances:2
油腻, number_of_appearances:3
肢体, number_of_appearances:1
末, number_of_appearances:1
端的, number_of_appearances:1
伸向, number_of_appearances:1
绞索, number_of_appearances:1
布下, number_of_appearances:1
夹, number_of_appearances:1
闪光, number_of_appearances:1
得行, number_of_appearances:1
领头, number_of_appearances:1
耳语, number_of_appearances:1
路来, number_of_appearances:1
下头, number_of_appearances:1
刚毅, number_of_appearances:1
冷峻, number_of_appearances:1
突破, number_of_appearances:1
重又, number_of_appearances:5
交给, number_of_appearances:2
抗争, number_of_appearances:2
大棒, number_of_appearances:1
血战, number_of_appearances:1
斯拉, number_of_appearances:1
冲刺, number_of_appearances:2
阵营, number_of_appearances:1
第一声, number_of_appearances:1
尖利, number_of_appearances:1
余地, number_of_appearances:1
激烈, number_of_appearances:2
反感, number_of_appearances:1
挽回, number_of_appearances:1
面子, number_of_appearances:1
以防, number_of_appearances:1
悲痛, number_of_appearances:2
安全带, number_of_appearances:1
说定, number_of_appearances:1
小道, number_of_appearances:2
推向, number_of_appearances:1
激增, number_of_appearances:1
惊叫, number_of_appearances:5
求救, number_of_appearances:2
刀光剑影, number_of_appearances:1
默念, number_of_appearances:1
滔天, number_of_appearances:1
洪水, number_of_appearances:1
深灰色, number_of_appearances:1
猛冲, number_of_appearances:2
疾驰, number_of_appearances:1
鲸鱼, number_of_appearances:1
皮, number_of_appearances:1
闪避, number_of_appearances:2
惨叫, number_of_appearances:1
连绵不断, number_of_appearances:1
刀片, number_of_appearances:3
截住, number_of_appearances:1
长剑, number_of_appearances:1
中金, number_of_appearances:1
属, number_of_appearances:1
钢, number_of_appearances:1
多于, number_of_appearances:1
机械装置, number_of_appearances:1
铿锵, number_of_appearances:1
刀剑, number_of_appearances:1
悬挂, number_of_appearances:1
稀薄, number_of_appearances:1
早前, number_of_appearances:1
捆扎, number_of_appearances:1
依附, number_of_appearances:1
崖壁, number_of_appearances:1
打结, number_of_appearances:1
高低不平, number_of_appearances:1
亦, number_of_appearances:2
假, number_of_appearances:1
毫不迟疑, number_of_appearances:1
绷直, number_of_appearances:1
崖, number_of_appearances:1
托起, number_of_appearances:1
哼哧, number_of_appearances:2
劲, number_of_appearances:1
滑翔, number_of_appearances:1
目的地, number_of_appearances:1
率先, number_of_appearances:1
某处, number_of_appearances:1
同母兄弟, number_of_appearances:1
拉紧, number_of_appearances:1
背包带, number_of_appearances:1
凑合, number_of_appearances:1
定心, number_of_appearances:1
稳稳地, number_of_appearances:1
起跳, number_of_appearances:1
弹起, number_of_appearances:1
暮色, number_of_appearances:1
脚尖, number_of_appearances:1
湖面, number_of_appearances:1
高三, number_of_appearances:1
石质, number_of_appearances:1
圆筒, number_of_appearances:3
内壁, number_of_appearances:1
好几十, number_of_appearances:1
广袤, number_of_appearances:1
电脑, number_of_appearances:2
米处, number_of_appearances:1
油乎乎, number_of_appearances:2
暗绿色, number_of_appearances:1
键盘, number_of_appearances:4
高喊, number_of_appearances:2
打手势, number_of_appearances:1
放哨, number_of_appearances:1
屏幕, number_of_appearances:4
智商, number_of_appearances:1
咯吱, number_of_appearances:2
物件, number_of_appearances:1
弹出, number_of_appearances:1
前头, number_of_appearances:1
肢, number_of_appearances:1
挥舞, number_of_appearances:2
弧形, number_of_appearances:1
飞速, number_of_appearances:1
钳, number_of_appearances:2
挥动, number_of_appearances:3
吱吱, number_of_appearances:1
整条, number_of_appearances:1
连根拔起, number_of_appearances:1
勇猛, number_of_appearances:1
舞动, number_of_appearances:1
圆圆, number_of_appearances:1
砍掉, number_of_appearances:1
站住, number_of_appearances:1
肉体, number_of_appearances:1
喷出, number_of_appearances:1
失控, number_of_appearances:3
涌出, number_of_appearances:1
状物, number_of_appearances:1
反复, number_of_appearances:2
燃料, number_of_appearances:1
流, number_of_appearances:1
一举, number_of_appearances:1
动能, number_of_appearances:1
脏, number_of_appearances:1
嘟嘟, number_of_appearances:1
步之遥, number_of_appearances:1
志在, number_of_appearances:1
失神, number_of_appearances:1
按钮, number_of_appearances:4
无心, number_of_appearances:1
屈膝, number_of_appearances:1
吼叫声, number_of_appearances:1
抓挠, number_of_appearances:1
厘米, number_of_appearances:1
黑字, number_of_appearances:1
毁掉, number_of_appearances:1
装置, number_of_appearances:2
按下, number_of_appearances:1
欣喜, number_of_appearances:2
呛, number_of_appearances:1
热烈, number_of_appearances:1
拥抱, number_of_appearances:1
什么是, number_of_appearances:1
谜题, number_of_appearances:1
苦难, number_of_appearances:1
时间内, number_of_appearances:1
老弟, number_of_appearances:1
绝顶, number_of_appearances:1
大英雄, number_of_appearances:1
好心情, number_of_appearances:1
百分之九十, number_of_appearances:1
抓伤, number_of_appearances:1
刺伤, number_of_appearances:1
共, number_of_appearances:1
十八, number_of_appearances:1
殿后, number_of_appearances:2
剩余, number_of_appearances:1
正和, number_of_appearances:1
而言, number_of_appearances:3
转而, number_of_appearances:1
